"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MORF4L1",10.9843634104341,-0.222482221907658,0.118889781870756,-1.87133173605715,0.0612991143078345,0.133687092024025
"NAMPT",8.40248138227366,0.302226817994475,0.161515319927392,1.87119598394963,0.0613179212283776,0.133711391978631
"WTIP",2.40940622081025,-0.375686110861905,0.200806689230349,-1.87088444265395,0.0613610998204018,0.133788824692777
"CHRM4",0.574615963937182,-0.67984354147629,0.363415711533399,-1.8707048702098,0.0613859994030567,0.133826388351203
"PSMA6",3.24306736869888,-0.319261774303307,0.170687583411402,-1.87044521881713,0.0614220175570782,0.13388817896829
"PTPA",3.23285903553378,-0.337589769024439,0.180495623630168,-1.87034877763105,0.0614354000791784,0.133900618988164
"PPOX",1.01058710315974,-0.485792023420845,0.259781141462056,-1.87000496143328,0.0614831288846425,0.133979332860317
"HSD17B13",1.43930602428981,-0.428437649723118,0.229120515822136,-1.86992268320358,0.0614945553575555,0.133979332860317
"FNIP1",15.8887221792029,-0.227728973762555,0.121784600772155,-1.8699324242858,0.0614932024630958,0.133979332860317
"SMIM13",5.0043768999304,-0.290876790834581,0.155569925719037,-1.86974950004098,0.0615186120907415,0.134015008481891
"SYBU",10.2964073592677,-0.259740583069616,0.13892598325701,-1.86963285758504,0.0615348191907839,0.134033577323414
"ZSWIM8",1.55517946342704,-0.441504966953694,0.236206017632507,-1.86915207063266,0.061601660335146,0.134162417546395
"SPARCL1",4.32414131912199,-0.288646664185733,0.154431617061725,-1.86909047303678,0.0616102282493984,0.13416432802531
"KDM1A",8.46835062269479,-0.250044371126799,0.133793434953335,-1.86888371028079,0.0616389951173642,0.134210218400202
"TP53AIP1",0.670246426694589,-0.616293542176763,0.329829835191862,-1.86851969233852,0.0616896678929276,0.134303788392877
"RP11-500M8.7",5.40720074325751,-0.290937868951018,0.155712162533906,-1.86843380900106,0.0617016282284088,0.134313065191489
"HTR4",21.5177901237708,-0.260361570382319,0.139357639418923,-1.86829779456616,0.061720573877082,0.134317336054668
"METAP2",4.98528532481064,-0.272225658605561,0.145711275204012,-1.86825390296265,0.0617266886299956,0.134317336054668
"SSX4",0.786841475598993,-0.574990033355355,0.30775998497867,-1.8683066721465,0.0617193371591207,0.134317336054668
"SLC6A18",1.38623723482654,-0.484737034293137,0.259485545928288,-1.86806950097752,0.0617523840471451,0.134356490359497
"CEP55",2.30102591135701,-0.348572025193737,0.18662478783019,-1.867769170679,0.0617942523982607,0.134430818442157
"WIPF3",9.50284006525428,-0.260480728971359,0.139479581192437,-1.86751872026329,0.061829185074042,0.134490041598088
"SALL4",1.50067788228515,-0.450842406141079,0.241483682652518,-1.86696840626626,0.0619059999589637,0.134623556380469
"IFNGR2",5.31228746929685,-0.279227179108182,0.1495585822556,-1.86700873261137,0.0619003683765631,0.134623556380469
"CPNE1",5.40594955980622,-0.277640133206836,0.14874356992825,-1.86656897733975,0.0619618031934164,0.134728113761579
"ZNF195",4.3019920637189,-0.287672953290809,0.154127675317491,-1.8664587829423,0.0619772055060906,0.134744809328733
"HTR5A",1.54477633658107,-0.433441797835826,0.23240489841128,-1.86502866677439,0.0621773861126017,0.1351631776616
"SDC4",2.40868122568272,-0.384015221732474,0.205929741446293,-1.86478756800958,0.0622111865645014,0.135219804338117
"DNAI3",9.85385176618693,-0.262994987785573,0.141048860497532,-1.86456655415642,0.0622421845979358,0.135270326437148
"PNISR",3.47610538167669,-0.282912217490691,0.151760619827953,-1.86420046130162,0.0622935586248648,0.135348253856117
"PLCB1",84.4687161013387,-0.21277847367388,0.114138404582,-1.86421454245065,0.0622915819604267,0.135348253856117
"CABP5",1.12631458123595,-0.47932876949058,0.257146888507777,-1.86402710245542,0.0623178984099117,0.135384276184422
"CCNA2",0.893447841318785,-0.531209988596428,0.285000544943102,-1.86389113291864,0.0623369941966194,0.13539203981076
"FAM20C",3.66124016920724,-0.351179761842182,0.188409376351843,-1.86391871063983,0.0623331207445675,0.13539203981076
"MTDH",7.07384972585215,-0.236493509783457,0.126887247796757,-1.86380833290878,0.062348625138089,0.13540044386082
"TMSB4X",37.2718827673299,0.419150723999319,0.224903059684444,1.86369507194531,0.062364537845717,0.135418143231085
