"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-674E16.5",11.1461342777163,0.18765013389754,0.0796685214863747,2.35538617256293,0.0185034650363955,0.0916870905238557
"NT5C3A",6.64963411598039,0.203061411530005,0.0862265962688451,2.35497422276628,0.0185239906445928,0.0916870905238557
"DMAC1",9.97864522108925,0.216108356296077,0.0917716879694334,2.35484778669492,0.0185302943810492,0.0916870905238557
"SPOUT1",0.850340733043976,-0.494660785809659,0.210053103507056,-2.35493205075659,0.0185260930102895,0.0916870905238557
"SLC25A22",0.664330854807407,-0.574423432340892,0.243857420153775,-2.35557085767029,0.0184942694706044,0.0916870905238557
"NACA",6.76411257949476,-0.286878616294168,0.121804183409158,-2.35524436242475,0.0185105285510528,0.0916870905238557
"ZNF891",2.82225446475635,0.26663965497601,0.113209879489071,2.35526842868647,0.018509329652534,0.0916870905238557
"HGS",2.19376095402282,-0.352188120101671,0.14955904043834,-2.35484340545011,0.0185305128508786,0.0916870905238557
"ZNF331",6.14748251600811,0.227266273905621,0.0964936016038494,2.35524708507258,0.0185103929146778,0.0916870905238557
"PIM2",1.30329173195983,-0.422241795581087,0.179257692642792,-2.35550167669786,0.0184977135579747,0.0916870905238557
"SELL",3.09342200363483,0.256385694153239,0.108893923441568,2.35445363754217,0.0185499575656757,0.0917409609093011
"HAVCR2",6.07022600998408,0.218818234430257,0.0929399237438467,2.35440514276024,0.0185523781185496,0.0917409609093011
"SULT1A1",2.16733999804409,-0.32715263757241,0.13896000099534,-2.35429357533886,0.0185579479081621,0.0917413609396691
"PGGT1B",7.7492641913032,0.203410312953452,0.0864104671928572,2.35400084690511,0.0185725687707,0.0917864915533649
"CTNND2",109.396346628519,0.164987465669488,0.0700988195982149,2.35364113996707,0.0185905488003158,0.0917939239729627
"NTRK2",43.6383611932181,0.177511658475632,0.0754192105375138,2.35366635649596,0.0185892878503829,0.0917939239729627
"C2CD5",13.0924560027917,0.192877528493153,0.0819478039918675,2.3536631745775,0.0185894469577623,0.0917939239729627
"TMEM47",2.99306715216778,0.278804395585517,0.11846447176414,2.35348532292964,0.0185983420753887,0.0918052833573676
"RAB9A",2.41291509235501,0.311685259668904,0.132449437017673,2.35323959608312,0.0186106380478292,0.0918388557222965
"SERPING1",1.93687249859929,0.32795339005398,0.139388465745579,2.35280149114048,0.0186325781107139,0.0918928623613079
"DDX17",5.91050327385828,-0.318640180814424,0.135425878772371,-2.3528751203454,0.0186288892179282,0.0918928623613079
"TTBK1",3.87487175457048,-0.295780240559616,0.125743320581037,-2.35225409344107,0.01866002329704,0.0919536425093493
"CCDC15",12.768698971381,0.194706088429555,0.0827675354213997,2.35244516389471,0.0186504394747989,0.0919536425093493
"FTO",55.5298262690939,0.176481986155174,0.0750276323301787,2.35222651540594,0.0186614069278277,0.0919536425093493
"SESTD1",23.6532983869722,0.179249118702377,0.0762122724050091,2.35197184188142,0.0186741885173301,0.0919624003767402
"SLCO1B3",12.4138634816387,0.206748452838943,0.0879042507411979,2.3519733243349,0.0186741140935972,0.0919624003767402
