"","Module","MMlightcyan","MMsalmon","MMbrown","MMyellow","MMblue","MMmidnightblue","MMturquoise","MMblack","MMcyan","MMgreen","MMtan","MMgreenyellow","MMpink","MMmagenta","MMpurple","MMred","MMgrey","p.MMlightcyan","p.MMsalmon","p.MMbrown","p.MMyellow","p.MMblue","p.MMmidnightblue","p.MMturquoise","p.MMblack","p.MMcyan","p.MMgreen","p.MMtan","p.MMgreenyellow","p.MMpink","p.MMmagenta","p.MMpurple","p.MMred","p.MMgrey","GS.IPAH","GS.CHD","GS.SLE","p.GS.IPAH","p.GS.CHD","p.GS.SLE"
"CCDC27","blue",0.154861769331657,0.144886738290179,0.0632933683732647,-0.0215065423158601,0.34687892945712,0.0733969851316395,0.142392716153182,0.109284681841866,0.033950516183593,0.339192214748225,0.0238708815828049,0.0901794686576707,0.0623620828056219,-0.145300705988425,-0.115426856478932,-0.0884853582386117,0.298276694659076,0.00116359962995262,0.00239618604366202,0.186616804642065,0.653901595935356,8.42117339829665e-14,0.125521722295268,0.00285116484928815,0.022321596231595,0.479012690792717,3.15750626281477e-13,0.618729642339514,0.059619008923317,0.193195537624798,0.00232742328475765,0.0157737506322893,0.0645915553404735,1.97991712259159e-10,0.00141909694402159,-0.10725545099573,0.0811791077483987,0.976401519091519,0.0249500066171973,0.0900848825958742
"DFFB","blue",0.0809890363135941,0.149156126873644,0.173888916756629,0.0998608335485891,0.399476469145726,0.058708312675169,0.146346873936596,0.137466158286458,0.0324000714951001,0.284313010273535,0.20028065856055,0.0407028104971812,-0.0655621851811768,-0.155837404342184,-0.116659281166961,-0.140867121764105,0.410180283991252,0.0908428206480601,0.00176829663199705,0.000259678678564997,0.0369075885915945,3.57823354761277e-18,0.220646033364202,0.00216159880124336,0.00398790664104121,0.499328813417854,1.43283607208014e-09,2.46924375278031e-05,0.395999012031082,0.171282519848048,0.0010816927223533,0.0146847819093654,0.00316688406785528,3.65904419555618e-19,0.0152957677339009,-0.0829159242321618,0.0452501017323447,0.749837308855193,0.0833915979056658,0.345319437587689
"AJAP1","blue",0.14872998817284,0.334921885330025,0.178302225017223,0.00256233864766591,0.74145286495235,0.172996847006433,0.269698728473812,0.0261918469832869,0.0241781879779722,0.497351759773682,0.0806272837843589,-0.0628406796575334,-0.0242946183806893,-0.283876125110619,-0.185774112993013,-0.166413677674211,0.602138915267402,0.0018233984855892,6.47759472784271e-13,0.000179164434865786,0.957404287640864,2.17391886638381e-77,0.000279608483966081,1.01462023435704e-08,0.585028745311527,0.614219176224614,1.09824636907909e-28,0.0922994779734832,0.189793762767037,0.612514057033293,1.52172847305871e-09,9.36591779318937e-05,0.000477222135007633,1.84034393565526e-44,-0.00850100873077812,-0.0973048725382878,-0.00758434787997973,0.859348210409047,0.0420409269319768,0.874381541462889
"NPHP4","blue",0.0262869181625081,0.26815973564321,0.250088933536705,0.0711904982899573,0.630096756804046,0.174442131137694,0.304557385308617,0.0775676872586111,-0.00126900420216291,0.419802281109842,0.0321896708578282,-0.11585928393065,-0.0117175174402388,-0.245620192683258,-0.214207477263794,-0.203952141017348,0.580480025690412,0.583666594799923,1.23861373404718e-08,1.17442191657655e-07,0.137324567116136,9.93397822832961e-50,0.000247994594073308,7.84552075784252e-11,0.105379851808958,0.978896830529425,4.38751457484547e-20,0.502120501192291,0.0153838546599917,0.807032422113003,1.99569891115558e-07,6.25361880436138e-06,1.73470003933289e-05,1.00469532930675e-40,-0.0339262396735845,-0.071613088644154,-0.00312585641720175,0.47932729168192,0.135000376479814,0.948048514716662
"CHD5","black",0.239048544194758,0.189717377841665,-0.17024653848081,-0.044714257236804,0.271618486886163,-0.0823579334619883,-0.125205056733255,0.530710322962396,0.0932827784591355,0.450334266216922,0.259018727180341,0.208795425305193,0.173504467173819,-0.143290996918347,-0.0435457466356527,-0.0157709636301914,0.224357518047426,4.2728917630979e-07,6.58234775817191e-05,0.000350410258047547,0.351067632579142,7.89716735179619e-09,0.085496745145795,0.00878843589059086,4.05263094690373e-33,0.0513313045694183,3.27990192079767e-23,3.94750898827315e-08,1.07817579684662e-05,0.000268099167989008,0.00267894054769293,0.363810827988947,0.742336352323673,2.16709688404977e-06,0.0170627781636494,-0.101962596410944,-0.0238481453976953,0.722069825302136,0.0330946482112756,0.619063923094977
"RP1.120G22.12","turquoise",0.0763536041383926,0.0380947117352296,-0.156832356324026,0.211755033453437,1.78833125549376e-05,-0.318363241936923,-0.375966261296495,0.0423726983403036,0.187309110335417,0.210957013636373,0.124804036494674,0.0743485660854991,0.094563338021029,0.190940913428965,0.602562191215933,0.401736368522197,-0.0305844257668063,0.110959963123824,0.426985833520503,0.00100366560853166,8.01833388525658e-06,0.999702571176922,9.47384855528208e-12,4.04021357755349e-16,0.376889579336334,8.17141814158101e-05,8.68841698690252e-06,0.00900886293714269,0.120681395116003,0.0482034375947024,5.8913948955861e-05,1.5452664089839e-44,2.22615607532564e-18,0.523687562974385,-0.0921572334061447,0.0720325093431044,-0.0368473786363672,0.0542186580724113,0.132723689753223,0.442289720790932
"RPL22","turquoise",0.0452856918111636,-0.0218797419805396,-0.131828780831756,0.31791836192613,-0.148508985755804,-0.372231750714543,-0.456063626504146,0.0214596184858677,0.225434012119985,0.109543214574499,0.13692062173963,0.130210707267628,0.0952748517609288,0.268355091423353,0.668665954439152,0.444955518829203,-0.141021285671416,0.344939779652803,0.648296052540747,0.00578044620953159,1.01591690681495e-11,0.00185259027833483,8.26969759677042e-16,7.81904453067157e-24,0.654607789823476,1.93100404447967e-06,0.0220046015649377,0.00413621745187901,0.00641433087556864,0.0465355677971254,1.20772823040058e-08,6.01493067573054e-58,1.22980237795209e-22,0.00313359586140002,-0.0960869360067722,0.0837049412542261,-0.0276783210248944,0.044691374708732,0.0804864700217315,0.563901595023216
"ESPN","grey",0.0931439498290574,0.0841417928045432,-0.0852498041330331,0.018919351284318,0.172776472351963,-0.13192974365331,-0.112750696360841,0.158737856255163,0.150184408296066,0.360683774463283,0.162401516323561,0.186853109514427,0.170893638607255,-0.0487859978765993,0.029738144612801,0.0516411156669645,0.177678385788423,0.0516803555628661,0.0789135730898875,0.0750356974559664,0.693283568281124,0.000284747307303285,0.00574282630001392,0.0183848839139432,0.000868536022532457,0.00164155881889261,7.14944654755383e-15,0.000654755147530386,8.51038161774974e-05,0.000332388698763418,0.308899448111728,0.53524530003154,0.281408398180041,0.000188916307621802,-0.0817964888399258,-0.00546447859612321,0.0831916849941437,0.0876579205117693,0.909312225019092,0.0823667842528114
"NOL9","brown",0.22162239262346,0.116910871303783,0.370643626029567,0.179441849748013,0.383116487658641,0.221719852008431,0.300041741434355,-0.0411694388501854,-0.0788006596533773,0.0809437551461165,-0.0971798568896384,-0.210971877164769,-0.211969658923751,-0.149138354258961,-0.154070698562184,-0.194052763974565,0.410253902768428,2.89766798123333e-06,0.0144707762210598,1.1183185722853e-15,0.000162556458086463,9.98816160774616e-17,2.86800677334148e-06,1.52982922503727e-10,0.39060129563283,0.0999424284377392,0.0910241377754605,0.0423067324985761,8.675462757529e-06,7.84669689314953e-06,0.00177056389015039,0.00123416435081718,4.42955900812252e-05,3.60107478803919e-19,0.129939883375227,-0.100936751597119,-0.114713366755579,0.00652631439782042,0.0349115242747102,0.0164360159842544
"KLHL21","pink",-0.0416216604913337,0.0133886915390569,-0.0653566077051859,0.149894389715828,-0.0274775702481968,-0.218769546425925,-0.232594910676376,0.0891316638884262,0.234263731619009,0.249443561732568,0.139833072994372,0.358434206098024,0.396919330946166,0.0865286251764267,0.0970906499596484,0.0383292057626086,-0.0543924373368104,0.38541296325476,0.78017163324113,0.172631965879473,0.00167643345686923,0.566733345830712,3.90803231132862e-06,8.83545121747729e-07,0.0626557016612246,7.33685036410624e-07,1.26868429841567e-07,0.00339859317948677,1.07744654948891e-14,6.09532668826241e-18,0.0707542987760797,0.0424972673226772,0.424143495081692,0.256529316252884,-0.216627392761643,0.0698382706558082,0.0353920320402077,4.87949238807235e-06,0.144968521246521,0.460534825981181
"CAMTA1","blue",0.0945481803509689,0.351345924315094,0.484619599979818,0.0681521541783886,0.907414339265992,0.363810888306253,0.608492800460399,-0.0581831885603223,-0.13923568977346,0.430497025715846,-0.0358635274062254,-0.217925059198873,-0.0483446376514561,-0.444490151120762,-0.350977979347002,-0.350003131174043,0.848725313894564,0.0482395063531123,3.84149953838117e-14,4.05496120139483e-27,0.154949840602902,6.99013450770154e-166,4.02083389662744e-15,1.29888689678058e-45,0.224809629309297,0.00353936198728238,3.82828413630323e-21,0.454578387446128,4.26661372085337e-06,0.313301959841168,1.37726468347885e-22,4.09999605719582e-14,4.87010312738232e-14,1.98243841680567e-122,-0.0477931581793181,-0.119939319151639,-0.0368746082869479,0.318860460697173,0.0121018888057297,0.441952328023884
"PER3","turquoise",0.0607054564897061,0.0580467917447301,0.346424113695556,-0.0834275860821874,0.347560281463139,0.371344339490038,0.54072747683451,-0.149274538714357,-0.151881563077287,-0.0744987149811976,-0.132878988016107,-0.254559483425094,-0.170766782415308,-0.326816536242701,-0.2807975124685,-0.30217090593483,0.385114552663883,0.205314960040114,0.225900183456447,9.11539966666462e-14,0.0814981990989146,7.47703231306818e-14,9.79086774385997e-16,1.5058714132963e-34,0.00175325856398728,0.00145047246406443,0.119931124109626,0.00539974145601232,6.83928712901624e-08,0.000335852024144841,2.45800235946638e-12,2.31880262461204e-09,1.11819976357667e-10,6.71744603488954e-17,0.0725733861095064,-0.135687929230736,0.035724584996176,0.129831596460484,0.00448986697193502,0.456329147956817
"TNFRSF9","turquoise",0.0997512724749613,0.0541025407196477,0.207265705526987,-0.0228325203450202,0.276496125991571,0.239937819724621,0.299060803956612,0.0861698399637788,-0.106687708274419,0.0218368987284238,0.00256026957435939,-0.1419157184931,-0.115417892895213,-0.231215439099114,-0.173221848920991,-0.173130305550446,0.301127990400645,0.0371161777258203,0.259076588586327,1.25443213570524e-05,0.634075502361212,4.14105654508996e-09,3.8595419459007e-07,1.76597221591858e-10,0.0719348334855062,0.0257315912833996,0.648938567214832,0.957438650883831,0.00294665747229132,0.0157819234093581,1.02919553740792e-06,0.000274451207270525,0.000276538662189042,1.30417159966416e-10,0.0687565269161228,-0.100805082840582,-0.0496051286604787,0.151313976325803,0.0351507574691604,0.300837245055756
"ERRFI1","black",0.0101867447098848,0.0233953468917777,-0.108460750597201,0.0896553737519586,-0.141381724219694,-0.22236130072317,-0.216238426695025,0.462071484056811,0.188620109296125,0.0701750861513152,0.133167666544251,0.235183164896099,0.320575901035116,0.00226600128433464,0.0446100384689919,0.00663557597110269,-0.0388754822597247,0.831838010413069,0.6257375148601,0.023358384220506,0.0611223484819412,0.00305700427735263,2.6799078411885e-06,5.07899719812038e-06,1.68816513328842e-24,7.26635179205402e-05,0.143034834838233,0.00529912473171425,6.61881038596929e-07,6.68222172086291e-12,0.962326641413265,0.352192604890186,0.889989165514669,0.41756491537745,-0.0496752928685597,-0.161373407477223,0.00635129624214439,0.300153217425,0.00070921049881072,0.894674231977996
"RERE","turquoise",0.0813597594799212,0.132024399027728,0.674842832443946,0.0679645015949868,0.529255558564852,0.553498299537182,0.803397326861699,-0.232523054139842,-0.275359197420642,-0.102219789409905,-0.262469168291219,-0.458248384045932,-0.345484097683921,-0.412078004140587,-0.420925425236611,-0.440503718146422,0.609288298308811,0.0893692162768879,0.0057077566081462,2.22187828585952e-59,0.156092091493566,6.47826169688817e-33,1.92190021490784e-36,5.40199225788425e-100,8.9061669272923e-07,4.81897997883061e-09,0.032651988679006,2.56181685311673e-08,4.49347039151291e-24,1.07325602567256e-13,2.42123687836346e-19,3.40995848746246e-20,3.60771527893841e-22,9.28089356450281e-46,0.0927829748101792,-0.155542667375515,-0.105578124425732,0.0525972138879966,0.00110585830996088,0.0273201742375903
