"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAD17",3.39278978996379,0.820939455565635,0.223362384698105,3.67537021363383,0.000237504757060288,0.0252905805133964
"KIF4A",13.0902658544916,0.627767777186661,0.171027681138831,3.67056240841548,0.000242017367871404,0.0254591352923971
"ERH",2.24909004067955,-1.65844045213929,0.452132996495748,-3.66803676129152,0.000244420047998589,0.0255200066533452
"VKORC1L1",24.1400702989551,0.956198376234779,0.260887087554864,3.66518092250807,0.000247163792379536,0.0256153231050525
"PTPRG",75.5771669511285,-0.328767587963288,0.0897704155533747,-3.66231554055593,0.000249945720573272,0.0256219057226451
"CYTH3",29.0593815105565,0.822271759374219,0.224581590117392,3.66134979694642,0.000250889935244256,0.0256219057226451
"SNX4",11.7357099863181,-1.14485887472203,0.313610164837079,-3.6505796147162,0.000261649188357483,0.0257798154528841
"EBAG9",2.87023436471059,1.01533559557123,0.277671303832756,3.65660974525035,0.000255573020254762,0.0257798154528841
"FAM95C",4.36294460740469,-1.23662735798495,0.338470473324315,-3.65357529074639,0.000258613908576955,0.0257798154528841
"E2F8",6.85404255598,1.48798301958438,0.407439877115728,3.6520308962339,0.000260174573347304,0.0257798154528841
"MPP1",6.57917624886935,0.920237701399323,0.251707055333437,3.65598691772975,0.000256194420262437,0.0257798154528841
"TAF10",1.73629338969454,1.63146265965727,0.447619149789968,3.64475617368647,0.000267645425383725,0.0261862038219839
"CHCHD6",29.719043683159,-0.572975080946241,0.157533919501471,-3.63715371749442,0.000275667430161366,0.0266291038792948
"ARHGAP18",14.3910300737927,0.446497757275754,0.122770031064544,3.63686278649726,0.000275978848009274,0.0266291038792948
"ZC3HAV1",13.4962997548087,0.68688917379436,0.189044733879771,3.63347425605205,0.000279630358851684,0.0267966325389994
"DEPDC4",5.31275258779679,0.708519105563618,0.195296530385216,3.62791445483485,0.000285719890783557,0.0271939251153248
"RPS6",9.44053451010168,-2.08744859845301,0.576072886723619,-3.62358417929587,0.000290548582360037,0.0274666568635087
"KLF7",18.3892147713252,0.680782657179282,0.18803330670166,3.62054291934266,0.000293985476877656,0.0276050389731228
"MKRN2",3.08628406859388,-1.27132669413946,0.351690249288942,-3.61490458353585,0.000300458260941782,0.0278535620139085
"MYO18B",31.3277195625675,-0.556591560549079,0.153977012436956,-3.61477048904926,0.000300613813458665,0.0278535620139085
"HTR2C",20.021022030072,0.601904881475166,0.166888813595741,3.60662208872295,0.000310208937054466,0.0285535081469015
"ARRDC5",3.07173933096138,1.57089207639668,0.436171402902531,3.60154761624232,0.000316328468625739,0.0289264810754426
"C20orf96",2.28292848666159,-1.72691341947217,0.479962669560383,-3.5980161145739,0.000320653756001848,0.0291316019494925
"TRMT9B",6.71226894877227,-0.831306766711916,0.231381048521601,-3.5928040434751,0.000327138600954219,0.0295290075222612
"GOLM1",7.56085548991513,-0.886460950709897,0.247272047242526,-3.58496223327843,0.000337126986528933,0.0302355363367071
"ATP11C",25.9574094318609,0.509183111086684,0.142165668171037,3.58161796471209,0.00034147288918008,0.0304302368950223
"BCAR3",26.5055633631148,-0.54981730512042,0.153861008605881,-3.57346744378099,0.000352285061081382,0.0309988697458466
"COA1",18.3495965541502,0.643783643311077,0.180144046977282,3.57371589077414,0.000351950802539861,0.0309988697458466
"PHB",1.41441843255567,-1.98508393775978,0.555888658399793,-3.57100996353143,0.000355607365831832,0.0310956415959572
"ZNF90",6.12769124707726,-1.13122785417233,0.317016437636946,-3.56835709405024,0.000359226696097088,0.0312170230130084
"IAPP",1.67528319783078,1.37170043283245,0.384830446152031,3.56442803979844,0.000364650472044869,0.031299538370428
"TINCR",3.48405823223859,-1.47860265124332,0.414646180006102,-3.56593819632334,0.000362556813551895,0.031299538370428
"PSG8",6.41723129313485,-0.935240808655327,0.262610565025483,-3.56132209899694,0.000368992084931231,0.0314790747577613
"BCAS1",12.3117422093349,-0.612024425223578,0.172165841315914,-3.55485397420124,0.000378189065669667,0.0320021668277513
"DMD",147.003049133717,0.480810304433887,0.135294449430452,3.55380657859912,0.000379698355614803,0.0320021668277513
"TOX4",2.45921013637657,1.2794207319844,0.360616691065444,3.54786886930926,0.000388361520585636,0.0325363235599619
